"total_revenue","day","month","time","con_time","category","price","mean_temp","seemean","precipitation","cold_sc","flu_sc","pneumonia_sc","coronavirus_sc","sell_sequence","rank_seq_mean","rank_brand","brand","code_name"
12997000,"7"," 1"," 0",0,"1",59.9,1.8,6e-04,3.575,0.095,0.261,0.168,0.009,1,1,374,"100341","201058"
36372000,"7"," 1"," 0",0.014,"1",59.9,1.8,0.2952,3.575,0.095,0.261,0.168,0.009,2,3,374,"100341","201058"
16795000,"7"," 1"," 0",0.028,"1",59.9,1.8,0.3095,3.575,0.095,0.261,0.168,0.009,3,6,374,"100341","201058"
8448000,"7"," 1"," 0",0,"1",59.9,1.8,6e-04,3.575,0.095,0.261,0.168,0.009,1,1,374,"100341","201061"
23491000,"7"," 1"," 0",0.014,"1",59.9,1.8,0.2952,3.575,0.095,0.261,0.168,0.009,2,3,374,"100341","201061"
30531000,"7"," 1"," 0",0.028,"1",59.9,1.8,0.3095,3.575,0.095,0.261,0.168,0.009,3,6,374,"100341","201061"
16483000,"1"," 1"," 0",0,"2",119,0.4,0.1857,5.8,0.087,0.236,0.152,0.007,1,1,443,"100606","201852"
58088000,"1"," 1"," 0",0.014,"2",119,0.4,0.8905,5.8,0.087,0.236,0.152,0.007,2,3,443,"100606","201852"
62897000,"1"," 1"," 0",0.028,"2",119,0.4,0.3714,5.8,0.087,0.236,0.152,0.007,3,6,443,"100606","201852"
6e+05,"2"," 1"," 0",0,"3",89,0.6,0.4226,2.4,0.108,0.344,0.222,0.008,1,1,387,"100209","200745"
3072000,"2"," 1"," 0",0.021,"3",89,0.6,6e-04,2.4,0.108,0.344,0.222,0.008,2,3,387,"100209","200745"
3647000,"2"," 1"," 0",0,"3",129,0.6,0.4226,2.4,0.108,0.344,0.222,0.008,1,1,387,"100209","200746"
2054000,"2"," 1"," 0",0.021,"3",129,0.6,6e-04,2.4,0.108,0.344,0.222,0.008,2,3,387,"100209","200746"
6479000,"2"," 1"," 0",0,"3",188,0.6,0.4226,2.4,0.108,0.344,0.222,0.008,1,1,387,"100209","200747"
19911000,"2"," 1"," 0",0.021,"3",188,0.6,6e-04,2.4,0.108,0.344,0.222,0.008,2,3,387,"100209","200747"
2005000,"2"," 1"," 0",0,"3",79,0.6,0.4226,2.4,0.108,0.344,0.222,0.008,1,1,387,"100209","200750"
2976000,"2"," 1"," 0",0.021,"3",79,0.6,6e-04,2.4,0.108,0.344,0.222,0.008,2,3,387,"100209","200750"
3001000,"2"," 1"," 0",0,"3",119,0.6,0.4226,2.4,0.108,0.344,0.222,0.008,1,1,387,"100209","200751"
9267000,"2"," 1"," 0",0.021,"3",119,0.6,6e-04,2.4,0.108,0.344,0.222,0.008,2,3,387,"100209","200751"
12046000,"2"," 1"," 0",0,"3",168,0.6,0.4226,2.4,0.108,0.344,0.222,0.008,1,1,387,"100209","200752"
35004000,"2"," 1"," 0",0.021,"3",168,0.6,6e-04,2.4,0.108,0.344,0.222,0.008,2,3,387,"100209","200752"
11083000,"3"," 1"," 0",0,"2",69.9,-0.8,6e-04,0.218,0.097,0.26,0.199,0.011,1,1,454,"100193","200652"
22800000,"3"," 1"," 0",0.014,"2",69.9,-0.8,6e-04,0.218,0.097,0.26,0.199,0.011,2,3,454,"100193","200652"
39486000,"3"," 1"," 0",0.028,"2",69.9,-0.8,0.0667,0.218,0.097,0.26,0.199,0.011,3,6,454,"100193","200652"
23561000,"4"," 1"," 0",0,"5",39.8,-4.4,0.3143,0.16,0.098,0.24,0.187,0.01,1,1,487,"100074","200197"
37576000,"4"," 1"," 0",0.014,"5",39.8,-4.4,0.1286,0.16,0.098,0.24,0.187,0.01,2,3,487,"100074","200197"
41484000,"4"," 1"," 0",0.028,"5",39.8,-4.4,0.8667,0.16,0.098,0.24,0.187,0.01,3,6,487,"100074","200197"
3052000,"5"," 1"," 0",0,"1",69,-0.2,6e-04,0.033,0.1,0.221,0.179,0.009,1,1,455,"100584","201792"
15965000,"5"," 1"," 0",0.014,"1",69,-0.2,6e-04,0.033,0.1,0.221,0.179,0.009,2,3,455,"100584","201792"
10385000,"5"," 1"," 0",0.028,"1",69,-0.2,6e-04,0.033,0.1,0.221,0.179,0.009,3,6,455,"100584","201792"
3255000,"5"," 1"," 0",0,"1",69,-0.2,6e-04,0.033,0.1,0.221,0.179,0.009,1,1,455,"100584","201799"
9062000,"5"," 1"," 0",0.014,"1",69,-0.2,6e-04,0.033,0.1,0.221,0.179,0.009,2,3,455,"100584","201799"
15682000,"5"," 1"," 0",0.028,"1",69,-0.2,6e-04,0.033,0.1,0.221,0.179,0.009,3,6,455,"100584","201799"
14543000,"6"," 1"," 0",0,"1",39.9,-0.1,0.1095,0,0.092,0.199,0.17,0.01,1,1,374,"100342","201059"
18292000,"6"," 1"," 0",0.014,"1",39.9,-0.1,0.4905,0,0.092,0.199,0.17,0.01,2,3,374,"100342","201059"
28757000,"6"," 1"," 0",0.028,"1",39.9,-0.1,0.2381,0,0.092,0.199,0.17,0.01,3,6,374,"100342","201059"
14621000,"7"," 1"," 0",0,"2",79.9,2,0.0476,0,0.077,0.153,0.141,0.007,1,1,392,"100664","202004"
30286000,"7"," 1"," 0",0.014,"2",79.9,2,0.2524,0,0.077,0.153,0.141,0.007,2,3,392,"100664","202004"
41095000,"7"," 1"," 0",0.028,"2",79.9,2,6e-04,0,0.077,0.153,0.141,0.007,3,6,392,"100664","202004"
10134000,"1"," 1"," 0",0,"1",59.9,0,6e-04,1.05,0.087,0.152,0.138,0.008,1,1,374,"100341","201058"
20713000,"1"," 1"," 0",0.014,"1",59.9,0,6e-04,1.05,0.087,0.152,0.138,0.008,2,3,374,"100341","201058"
9090000,"1"," 1"," 0",0.028,"1",59.9,0,6e-04,1.05,0.087,0.152,0.138,0.008,3,6,374,"100341","201058"
5262000,"1"," 1"," 0",0,"1",59.9,0,6e-04,1.05,0.087,0.152,0.138,0.008,1,1,374,"100341","201061"
19091000,"1"," 1"," 0",0.014,"1",59.9,0,6e-04,1.05,0.087,0.152,0.138,0.008,2,3,374,"100341","201061"
21632000,"1"," 1"," 0",0.028,"1",59.9,0,6e-04,1.05,0.087,0.152,0.138,0.008,3,6,374,"100341","201061"
19653000,"2"," 1"," 0",0,"2",119,-1,6e-04,0.057,0.114,0.227,0.213,0.01,1,1,443,"100606","201852"
40086000,"2"," 1"," 0",0.014,"2",119,-1,0.1333,0.057,0.114,0.227,0.213,0.01,2,3,443,"100606","201852"
44626000,"2"," 1"," 0",0.028,"2",119,-1,6e-04,0.057,0.114,0.227,0.213,0.01,3,6,443,"100606","201852"
10457000,"3"," 1"," 0",0,"2",119,1.2,0.1095,0,0.106,0.19,0.185,0.01,1,1,443,"100606","201852"
24329000,"3"," 1"," 0",0.014,"2",119,1.2,6e-04,0,0.106,0.19,0.185,0.01,2,3,443,"100606","201852"
39768000,"3"," 1"," 0",0.028,"2",119,1.2,0.0905,0,0.106,0.19,0.185,0.01,3,6,443,"100606","201852"
19443000,"4"," 1"," 0",0,"2",89,1.8,0.9935,0,0.105,0.174,0.172,0.012,1,1,468,"100305","200977"
26564000,"4"," 1"," 0",0.021,"2",89,1.8,1.4387,0,0.105,0.174,0.172,0.012,2,3,468,"100305","200977"
8517000,"5"," 1"," 0",0,"1",49,-0.7,0.2286,0,0.095,0.178,0.158,0.012,1,1,455,"100585","201794"
13568000,"5"," 1"," 0",0.014,"1",49,-0.7,6e-04,0,0.095,0.178,0.158,0.012,2,3,455,"100585","201794"
18735000,"5"," 1"," 0",0.028,"1",49,-0.7,6e-04,0,0.095,0.178,0.158,0.012,3,6,455,"100585","201794"
6962000,"5"," 1"," 0",0,"1",49,-0.7,0.2286,0,0.095,0.178,0.158,0.012,1,1,455,"100585","201801"
13481000,"5"," 1"," 0",0.014,"1",49,-0.7,6e-04,0,0.095,0.178,0.158,0.012,2,3,455,"100585","201801"
17257000,"5"," 1"," 0",0.028,"1",49,-0.7,6e-04,0,0.095,0.178,0.158,0.012,3,6,455,"100585","201801"
26370000,"6"," 1"," 0",0,"2",59.9,-1.8,6e-04,4.48,0.131,0.349,0.158,0.013,1,1,454,"100193","200653"
30386000,"6"," 1"," 0",0.014,"2",59.9,-1.8,0.1286,4.48,0.131,0.349,0.158,0.013,2,3,454,"100193","200653"
42131000,"6"," 1"," 0",0.028,"2",59.9,-1.8,0.719,4.48,0.131,0.349,0.158,0.013,3,6,454,"100193","200653"
12188000,"7"," 1"," 0",0,"1",399,-2.9,0.0714,0.133,0.107,0.227,0.14,0.008,1,1,412,"100049","202043"
42359000,"7"," 1"," 0",0.014,"1",399,-2.9,0.0667,0.133,0.107,0.227,0.14,0.008,2,3,412,"100049","202043"
91831000,"7"," 1"," 0",0.028,"1",399,-2.9,0.0667,0.133,0.107,0.227,0.14,0.008,3,6,412,"100049","202043"
8912000,"1"," 1"," 0",0,"2",79,-0.3,0.1143,0,0.085,0.192,0.123,0.007,1,1,459,"100597","201832"
21378000,"1"," 1"," 0",0.014,"2",79,-0.3,6e-04,0,0.085,0.192,0.123,0.007,2,3,459,"100597","201832"
28306000,"1"," 1"," 0",0.028,"2",79,-0.3,0.019,0,0.085,0.192,0.123,0.007,3,6,459,"100597","201832"
1701000,"1"," 1"," 0",0,"2",79,-0.3,0.1143,0,0.085,0.192,0.123,0.007,1,1,459,"100597","201834"
4971000,"1"," 1"," 0",0.014,"2",79,-0.3,6e-04,0,0.085,0.192,0.123,0.007,2,3,459,"100597","201834"
5006000,"1"," 1"," 0",0.028,"2",79,-0.3,0.019,0,0.085,0.192,0.123,0.007,3,6,459,"100597","201834"
3930000,"1"," 1"," 0",0,"2",79,-0.3,0.1143,0,0.085,0.192,0.123,0.007,1,1,459,"100597","201836"
9552000,"1"," 1"," 0",0.014,"2",79,-0.3,6e-04,0,0.085,0.192,0.123,0.007,2,3,459,"100597","201836"
10474000,"1"," 1"," 0",0.028,"2",79,-0.3,0.019,0,0.085,0.192,0.123,0.007,3,6,459,"100597","201836"
7182000,"2"," 1"," 0",0,"2",79,1.5,6e-04,0.507,0.113,0.271,0.176,0.008,1,1,468,"100305","200986"
13765000,"2"," 1"," 0",0.014,"2",79,1.5,6e-04,0.507,0.113,0.271,0.176,0.008,2,3,468,"100305","200986"
19068000,"2"," 1"," 0",0.028,"2",79,1.5,6e-04,0.507,0.113,0.271,0.176,0.008,3,6,468,"100305","200986"
8215000,"3"," 1"," 0",0,"1",49,-0.5,6e-04,0,0.11,0.226,0.167,0.012,1,1,455,"100585","201794"
10556000,"3"," 1"," 0",0.014,"1",49,-0.5,0.0952,0,0.11,0.226,0.167,0.012,2,3,455,"100585","201794"
20962000,"3"," 1"," 0",0.028,"1",49,-0.5,0.1333,0,0.11,0.226,0.167,0.012,3,6,455,"100585","201794"
3935000,"3"," 1"," 0",0,"1",49,-0.5,6e-04,0,0.11,0.226,0.167,0.012,1,1,455,"100585","201801"
10862000,"3"," 1"," 0",0.014,"1",49,-0.5,0.0952,0,0.11,0.226,0.167,0.012,2,3,455,"100585","201801"
17887000,"3"," 1"," 0",0.028,"1",49,-0.5,0.1333,0,0.11,0.226,0.167,0.012,3,6,455,"100585","201801"
22105000,"4"," 1"," 0",0,"2",59.9,2.8,0.1,0,0.1,0.185,0.159,0.011,1,1,454,"100193","200653"
40074000,"4"," 1"," 0",0.014,"2",59.9,2.8,2.1,0,0.1,0.185,0.159,0.011,2,3,454,"100193","200653"
42415000,"4"," 1"," 0",0.028,"2",59.9,2.8,2.1,0,0.1,0.185,0.159,0.011,3,6,454,"100193","200653"
22232000,"5"," 1"," 0",0,"5",39.8,-0.7,1.8762,8.057,0.093,0.171,0.152,0.011,1,1,487,"100074","200197"
35165000,"5"," 1"," 0",0.014,"5",39.8,-0.7,1.5,8.057,0.093,0.171,0.152,0.011,2,3,487,"100074","200197"
43539000,"5"," 1"," 0",0.028,"5",39.8,-0.7,1.5714,8.057,0.093,0.171,0.152,0.011,3,6,487,"100074","200197"
24236000,"6"," 2"," 0",0,"2",89.9,-2.1,0.3238,0.35,0.081,0.145,0.128,0.01,1,1,450,"100718","202108"
31833000,"6"," 2"," 0",0.014,"2",89.9,-2.1,0.8667,0.35,0.081,0.145,0.128,0.01,2,3,450,"100718","202108"
47480000,"6"," 2"," 0",0.028,"2",89.9,-2.1,1.6857,0.35,0.081,0.145,0.128,0.01,3,6,450,"100718","202108"
5239000,"7"," 2"," 0",0,"1",49,1.6,6e-04,0.2,0.075,0.126,0.114,0.008,1,1,455,"100585","201794"
12957000,"7"," 2"," 0",0.014,"1",49,1.6,0.1476,0.2,0.075,0.126,0.114,0.008,2,3,455,"100585","201794"
15054000,"7"," 2"," 0",0.028,"1",49,1.6,0.2381,0.2,0.075,0.126,0.114,0.008,3,6,455,"100585","201794"
3251000,"7"," 2"," 0",0,"1",49,1.6,6e-04,0.2,0.075,0.126,0.114,0.008,1,1,455,"100585","201801"
11921000,"7"," 2"," 0",0.014,"1",49,1.6,0.1476,0.2,0.075,0.126,0.114,0.008,2,3,455,"100585","201801"
14714000,"7"," 2"," 0",0.028,"1",49,1.6,0.2381,0.2,0.075,0.126,0.114,0.008,3,6,455,"100585","201801"
10331000,"1"," 2"," 0",0,"2",79.9,3.5,0.019,15.395,0.084,0.106,0.115,0.006,1,1,392,"100664","202004"
18446000,"1"," 2"," 0",0.014,"2",79.9,3.5,6e-04,15.395,0.084,0.106,0.115,0.006,2,3,392,"100664","202004"
16754000,"1"," 2"," 0",0.028,"2",79.9,3.5,6e-04,15.395,0.084,0.106,0.115,0.006,3,6,392,"100664","202004"
8657000,"2"," 2"," 0",0,"1",69.9,0.9,0.2571,0.1,0.072,0.096,0.108,0.003,1,1,1,"100250","200844"
15152000,"2"," 2"," 0",0.014,"1",69.9,0.9,6e-04,0.1,0.072,0.096,0.108,0.003,2,3,1,"100250","200844"
20102000,"2"," 2"," 0",0.028,"1",69.9,0.9,0.119,0.1,0.072,0.096,0.108,0.003,3,6,1,"100250","200844"
7627000,"3"," 2"," 0",0,"2",79,2.6,6e-04,0,0.07,0.093,0.108,0.003,1,1,459,"100597","201832"
16373000,"3"," 2"," 0",0.014,"2",79,2.6,6e-04,0,0.07,0.093,0.108,0.003,2,3,459,"100597","201832"
20541000,"3"," 2"," 0",0.028,"2",79,2.6,0.1,0,0.07,0.093,0.108,0.003,3,6,459,"100597","201832"
1325000,"3"," 2"," 0",0,"2",79,2.6,6e-04,0,0.07,0.093,0.108,0.003,1,1,459,"100597","201834"
3215000,"3"," 2"," 0",0.014,"2",79,2.6,6e-04,0,0.07,0.093,0.108,0.003,2,3,459,"100597","201834"
6660000,"3"," 2"," 0",0.028,"2",79,2.6,0.1,0,0.07,0.093,0.108,0.003,3,6,459,"100597","201834"
3788000,"3"," 2"," 0",0,"2",79,2.6,6e-04,0,0.07,0.093,0.108,0.003,1,1,459,"100597","201836"
5734000,"3"," 2"," 0",0.014,"2",79,2.6,6e-04,0,0.07,0.093,0.108,0.003,2,3,459,"100597","201836"
4456000,"3"," 2"," 0",0.028,"2",79,2.6,0.1,0,0.07,0.093,0.108,0.003,3,6,459,"100597","201836"
11095000,"4"," 2"," 0",0,"2",59,4.5,0.1333,0,0.088,0.111,0.119,0.005,1,1,443,"100604","201848"
18021000,"4"," 2"," 0",0.014,"2",59,4.5,0.0619,0,0.088,0.111,0.119,0.005,2,3,443,"100604","201848"
33679000,"4"," 2"," 0",0.028,"2",59,4.5,1.8571,0,0.088,0.111,0.119,0.005,3,6,443,"100604","201848"
4805000,"4"," 2"," 0",0,"2",59,4.5,0.1333,0,0.088,0.111,0.119,0.005,1,1,443,"100604","201851"
9811000,"4"," 2"," 0",0.014,"2",59,4.5,0.0619,0,0.088,0.111,0.119,0.005,2,3,443,"100604","201851"
10557000,"4"," 2"," 0",0.028,"2",59,4.5,1.8571,0,0.088,0.111,0.119,0.005,3,6,443,"100604","201851"
7009000,"5"," 2"," 0",0,"1",49,-0.2,0.1429,1.981,0.103,0.156,0.172,0.008,1,1,455,"100585","201794"
8726000,"5"," 2"," 0",0.014,"1",49,-0.2,0.0667,1.981,0.103,0.156,0.172,0.008,2,3,455,"100585","201794"
13033000,"5"," 2"," 0",0.028,"1",49,-0.2,0.1952,1.981,0.103,0.156,0.172,0.008,3,6,455,"100585","201794"
4295000,"5"," 2"," 0",0,"1",49,-0.2,0.1429,1.981,0.103,0.156,0.172,0.008,1,1,455,"100585","201801"
7388000,"5"," 2"," 0",0.014,"1",49,-0.2,0.0667,1.981,0.103,0.156,0.172,0.008,2,3,455,"100585","201801"
10669000,"5"," 2"," 0",0.028,"1",49,-0.2,0.1952,1.981,0.103,0.156,0.172,0.008,3,6,455,"100585","201801"
31555000,"6"," 2"," 0",0,"9",99,-4.5,0.1095,2.3,0.096,0.125,0.152,0.01,1,1,451,"100742","202178"
29445000,"6"," 2"," 0",0.014,"9",99,-4.5,0.5381,2.3,0.096,0.125,0.152,0.01,2,3,451,"100742","202178"
32106000,"6"," 2"," 0",0.028,"9",99,-4.5,6e-04,2.3,0.096,0.125,0.152,0.01,3,6,451,"100742","202178"
14011000,"7"," 2"," 0",0,"2",59,-3.6,6e-04,12.7,0.094,0.094,0.132,0.008,1,1,443,"100604","201848"
20288000,"7"," 2"," 0",0.014,"2",59,-3.6,6e-04,12.7,0.094,0.094,0.132,0.008,2,3,443,"100604","201848"
27168000,"7"," 2"," 0",0.028,"2",59,-3.6,6e-04,12.7,0.094,0.094,0.132,0.008,3,6,443,"100604","201848"
7752000,"7"," 2"," 0",0,"2",59,-3.6,6e-04,12.7,0.094,0.094,0.132,0.008,1,1,443,"100604","201851"
8306000,"7"," 2"," 0",0.014,"2",59,-3.6,6e-04,12.7,0.094,0.094,0.132,0.008,2,3,443,"100604","201851"
1559000,"7"," 2"," 0",0.028,"2",59,-3.6,6e-04,12.7,0.094,0.094,0.132,0.008,3,6,443,"100604","201851"
14287000,"1"," 2"," 0",0,"2",79.9,-3.7,6e-04,2.8,0.093,0.085,0.106,0.006,1,1,392,"100664","202004"
16635000,"1"," 2"," 0",0.014,"2",79.9,-3.7,0.181,2.8,0.093,0.085,0.106,0.006,2,3,392,"100664","202004"
23148000,"1"," 2"," 0",0.028,"2",79.9,-3.7,6e-04,2.8,0.093,0.085,0.106,0.006,3,6,392,"100664","202004"
9764000,"2"," 2"," 0",0,"1",269,-1.9,1.2,1.833,0.11,0.131,0.147,0.009,1,1,412,"100049","202046"
28741000,"2"," 2"," 0",0.014,"1",269,-1.9,1.2,1.833,0.11,0.131,0.147,0.009,2,3,412,"100049","202046"
39861000,"2"," 2"," 0",0.028,"1",269,-1.9,1.2,1.833,0.11,0.131,0.147,0.009,3,6,412,"100049","202046"
15603000,"3"," 2"," 0",0,"5",39.8,-1.1,0.6476,0.025,0.101,0.118,0.144,0.01,1,1,487,"100074","200197"
28336000,"3"," 2"," 0",0.014,"5",39.8,-1.1,6e-04,0.025,0.101,0.118,0.144,0.01,2,3,487,"100074","200197"
41322000,"3"," 2"," 0",0.028,"5",39.8,-1.1,0.0952,0.025,0.101,0.118,0.144,0.01,3,6,487,"100074","200197"
10293000,"4"," 2"," 0",0,"2",79.9,-2.2,0.0857,5.4,0.095,0.106,0.146,0.008,1,1,392,"100664","202004"
22187000,"4"," 2"," 0",0.014,"2",79.9,-2.2,6e-04,5.4,0.095,0.106,0.146,0.008,2,3,392,"100664","202004"
19972000,"4"," 2"," 0",0.028,"2",79.9,-2.2,6e-04,5.4,0.095,0.106,0.146,0.008,3,6,392,"100664","202004"
7931000,"5"," 2"," 0",0,"2",79,-1.4,0.0619,0.667,0.089,0.103,0.138,0.007,1,1,459,"100597","201832"
10504000,"5"," 2"," 0",0.014,"2",79,-1.4,0.2095,0.667,0.089,0.103,0.138,0.007,2,3,459,"100597","201832"
16100000,"5"," 2"," 0",0.028,"2",79,-1.4,0.581,0.667,0.089,0.103,0.138,0.007,3,6,459,"100597","201832"
2917000,"5"," 2"," 0",0,"2",79,-1.4,0.0619,0.667,0.089,0.103,0.138,0.007,1,1,459,"100597","201834"
2917000,"5"," 2"," 0",0.014,"2",79,-1.4,0.2095,0.667,0.089,0.103,0.138,0.007,2,3,459,"100597","201834"
3140000,"5"," 2"," 0",0.028,"2",79,-1.4,0.581,0.667,0.089,0.103,0.138,0.007,3,6,459,"100597","201834"
1610000,"5"," 2"," 0",0,"2",79,-1.4,0.0619,0.667,0.089,0.103,0.138,0.007,1,1,459,"100597","201836"
1325000,"5"," 2"," 0",0.014,"2",79,-1.4,0.2095,0.667,0.089,0.103,0.138,0.007,2,3,459,"100597","201836"
5079000,"5"," 2"," 0",0.028,"2",79,-1.4,0.581,0.667,0.089,0.103,0.138,0.007,3,6,459,"100597","201836"
8629000,"6"," 2"," 0",0,"1",69.9,0.4,6e-04,1.8,0.081,0.092,0.133,0.009,1,1,1,"100250","200844"
14661000,"6"," 2"," 0",0.014,"1",69.9,0.4,0.181,1.8,0.081,0.092,0.133,0.009,2,3,1,"100250","200844"
17223000,"6"," 2"," 0",0.028,"1",69.9,0.4,0.2286,1.8,0.081,0.092,0.133,0.009,3,6,1,"100250","200844"
2621000,"7"," 2"," 0",0,"9",139,-2,6e-04,0.63,0.068,0.071,0.114,0.008,1,1,378,"100293","200950"
10620000,"7"," 2"," 0",0.014,"9",139,-2,0.3286,0.63,0.068,0.071,0.114,0.008,2,3,378,"100293","200950"
9337000,"7"," 2"," 0",0.028,"9",139,-2,0.2571,0.63,0.068,0.071,0.114,0.008,3,6,378,"100293","200950"
8787000,"7"," 2"," 0",0,"9",129,-2,6e-04,0.63,0.068,0.071,0.114,0.008,1,1,378,"100293","200953"
17009000,"7"," 2"," 0",0.014,"9",129,-2,0.3286,0.63,0.068,0.071,0.114,0.008,2,3,378,"100293","200953"
23155000,"7"," 2"," 0",0.028,"9",129,-2,0.2571,0.63,0.068,0.071,0.114,0.008,3,6,378,"100293","200953"
10879000,"1"," 2"," 0",0,"1",299,-1.2,6e-04,0,0.08,0.076,0.105,0.006,1,1,473,"100271","200896"
46835000,"1"," 2"," 0",0.021,"1",299,-1.2,6e-04,0,0.08,0.076,0.105,0.006,2,3,473,"100271","200896"
10592000,"2"," 2"," 0",0,"2",79.9,1.4,1.4476,0,0.089,0.118,0.155,0.008,1,1,392,"100664","202004"
17303000,"2"," 2"," 0",0.014,"2",79.9,1.4,1.6048,0,0.089,0.118,0.155,0.008,2,3,392,"100664","202004"
16314000,"2"," 2"," 0",0.028,"2",79.9,1.4,1.6714,0,0.089,0.118,0.155,0.008,3,6,392,"100664","202004"
306000,"3"," 2"," 0",0,"3",89,1.8,6e-04,7.245,0.088,0.099,0.145,0.009,1,1,387,"100209","200745"
817000,"3"," 2"," 0",0.021,"3",89,1.8,0.0452,7.245,0.088,0.099,0.145,0.009,2,3,387,"100209","200745"
