"total_revenue","day","month","time","con_time","category","price","precipitation","temp_diff","mean_temp","sell_sequence","rank_seq_mean","rank_brand"
13162000,"3","12","10",0.451388889,"9",49800,3.2,7.1,18.9,4,4,337
13676000,"3","12","11",0.458333333,"9",49800,3.2,7.1,18.9,5,2,337
20506000,"3","12","11",0.465277778,"9",49800,3.2,7.1,18.9,6,5,337
6478000,"5","12","13",0.555555556,"9",49800,4.5,8.4,23.8,1,1,337
8371000,"5","12","13",0.5625,"9",49800,4.5,8.4,23.8,2,3,337
12005000,"5","12","13",0.569444444,"9",49800,4.5,8.4,23.8,3,6,337
13086000,"5","12","13",0.576388889,"9",49800,20,5.2,24.8,4,4,337
13024000,"5","12","14",0.583333333,"9",49800,20,5.2,24.8,5,2,337
18535000,"5","12","14",0.590277778,"9",49800,20,5.2,24.8,6,5,337
7201000,"7","11"," 8",0.347222222,"9",49800,2.8,10.2,8.9,1,1,337
5984000,"7","11"," 8",0.354166667,"9",49800,2.8,10.2,8.9,2,3,337
6587000,"7","11"," 8",0.361111111,"9",49800,2.8,10.2,8.9,3,6,337
7875000,"7","11"," 8",0.368055556,"9",49800,0.2,12,10.3,4,4,337
6029000,"7","11"," 9",0.375,"9",49800,0.2,12,10.3,5,2,337
19596000,"7","11"," 9",0.381944444,"9",49800,11.6,13,8.7,6,5,337
1603000,"4","11","15",0.638888889,"9",49800,0.4,10.8,25.1,1,1,337
6168000,"4","11","15",0.645833333,"9",49800,0.4,10.8,25.1,2,3,337
8294000,"4","11","15",0.652777778,"9",49800,0.4,10.8,25.1,3,6,337
10456000,"4","11","15",0.659722222,"9",49800,7.4,6.3,23.9,4,4,337
1878000,"3","12","10",0.430555556,"9",49800,0,11.7,15.9,1,1,337
6753000,"3","12","10",0.4375,"9",49800,0,11.7,15.9,2,3,337
8511000,"3","12","10",0.444444444,"9",49800,0,11.7,15.9,3,6,337
6905000,"3","12","10",0.451388889,"9",49800,1,9.7,21.7,4,4,337
8151000,"3","12","11",0.458333333,"9",49800,1,9.7,21.7,5,2,337
13234000,"3","12","11",0.465277778,"9",49800,1,9.7,21.7,6,5,337
2868000,"5","12","13",0.555555556,"9",49800,0,8.6,27.9,1,1,337
5313000,"5","12","13",0.5625,"9",49800,0,8.6,27.9,2,3,337
8909000,"5","12","13",0.569444444,"9",49800,0,8.6,27.9,3,6,337
9234000,"5","12","13",0.576388889,"9",49800,8,7.5,28.3,4,4,337
7840000,"5","12","14",0.583333333,"9",49800,8,7.5,28.3,5,2,337
12338000,"5","12","14",0.590277778,"9",49800,8,7.5,28.3,6,5,337
24251000,"7"," 8","17",0.708333333,"4",39900,6.9,7.8,17.3,1,1,467
32271000,"7"," 8","17",0.722222222,"4",39900,0.1,12.9,11.4,2,3,467
35700000,"7"," 8","17",0.736111111,"4",39900,0.1,12.9,11.4,3,6,467
47931000,"5"," 5","17",0.708333333,"4",55900,0.5,14.3,15.5,1,1,467
74586000,"5"," 5","17",0.722222222,"4",55900,0.5,14.3,15.5,2,3,467
82945000,"5"," 5","17",0.736111111,"4",55900,65.1,3,17.5,3,6,467
50787000,"4"," 5","17",0.708333333,"4",55900,0,12.1,19.2,1,1,467
85382000,"4"," 5","17",0.722222222,"4",55900,28.9,7.6,22,2,3,467
76089000,"4"," 5","17",0.736111111,"4",55900,28.9,7.6,22,3,6,467
38161000,"2"," 5","16",0.680555556,"4",55900,0,14.4,13.3,1,1,467
81170000,"2"," 5","16",0.694444444,"4",55900,0,14.4,13.3,2,3,467
57560000,"5"," 5","17",0.708333333,"4",55900,0,9.3,3.7,1,1,467
78275000,"5"," 5","17",0.722222222,"4",55900,0,9.3,3.7,2,3,467
90296000,"5"," 5","17",0.736111111,"4",55900,0.2,12,10.3,3,6,467
45773000,"7"," 5","17",0.708333333,"4",55900,5.6,9.7,16.8,1,1,467
72676000,"7"," 5","17",0.722222222,"4",55900,0,16.4,18.9,2,3,467
72372000,"7"," 5","17",0.736111111,"4",55900,0,16.4,18.9,3,6,467
36279000,"1"," 5","18",0.75,"4",55900,6.9,7.8,17.3,1,1,467
42671000,"1"," 5","18",0.763888889,"4",55900,6.9,7.8,17.3,2,3,467
60406000,"1"," 5","18",0.777777778,"4",55900,0,18.3,16.7,3,6,467
37096000,"2"," 5","18",0.75,"4",55900,0,19,14.2,1,1,467
48056000,"2"," 5","18",0.763888889,"4",55900,0,19,14.2,2,3,467
53202000,"2"," 5","18",0.777777778,"4",55900,0,13.2,15.3,3,6,467
37802000,"6"," 5","16",0.666666667,"4",55900,0.7,7.8,28.4,1,1,467
66575000,"6"," 5","16",0.680555556,"4",55900,0.7,7.8,28.4,2,3,467
102688000,"6"," 5","16",0.694444444,"4",55900,0.7,7.8,28.4,3,6,467
44027000,"7"," 5","17",0.708333333,"4",55900,0,12.6,11.3,1,1,467
74562000,"7"," 5","17",0.722222222,"4",55900,0,12.8,14.3,2,3,467
90371000,"7"," 5","17",0.736111111,"4",55900,0,12.8,14.3,3,6,467
42908000,"2"," 5","18",0.75,"4",55900,0,10.2,20.4,1,1,467
44655000,"2"," 5","18",0.763888889,"4",55900,0.3,9.8,21.2,2,3,467
54343000,"2"," 5","18",0.777777778,"4",55900,0.3,9.8,21.2,3,6,467
28098000,"3"," 5","16",0.666666667,"4",55900,0,11.5,5.7,1,1,467
47670000,"3"," 5","16",0.680555556,"4",55900,0,11.5,5.7,2,3,467
65019000,"3"," 5","16",0.694444444,"4",55900,0,13.8,6.7,3,6,467
32994000,"5"," 6","17",0.708333333,"4",55900,0.2,12,10.3,1,1,467
59255000,"5"," 6","17",0.722222222,"4",55900,0.2,12,10.3,2,3,467
74002000,"5"," 6","17",0.736111111,"4",55900,0.2,12,10.3,3,6,467
38354000,"1"," 6","17",0.708333333,"4",55900,0.1,6.4,3.7,1,1,467
50547000,"1"," 6","17",0.722222222,"4",55900,0,13.5,10.8,2,3,467
65222000,"1"," 6","17",0.736111111,"4",55900,0,13.5,10.8,3,6,467
63170000,"3"," 6","17",0.708333333,"4",55900,7.2,5.7,19.5,1,1,467
86130000,"3"," 6","17",0.722222222,"4",55900,7.2,5.7,19.5,2,3,467
81044000,"3"," 6","17",0.736111111,"4",55900,7.2,5.7,19.5,3,6,467
50985000,"6"," 6","17",0.708333333,"4",55900,4.9,8.5,0.3,1,1,467
67506000,"6"," 6","17",0.722222222,"4",55900,4.9,8.5,0.3,2,3,467
75950000,"6"," 6","17",0.736111111,"4",55900,4.9,8.5,0.3,3,6,467
31785000,"1"," 6","17",0.708333333,"4",55900,3.8,10.3,20.4,1,1,467
42011000,"1"," 6","17",0.722222222,"4",55900,1.9,7.4,26.4,2,3,467
68743000,"1"," 6","17",0.736111111,"4",55900,1.9,7.4,26.4,3,6,467
28902000,"3"," 6","18",0.75,"4",55900,0.4,7,23.2,1,1,467
44007000,"3"," 6","18",0.763888889,"4",55900,20.7,4.1,20.9,2,3,467
45079000,"3"," 6","18",0.777777778,"4",55900,20.7,4.1,20.9,3,6,467
35214000,"5"," 6","16",0.666666667,"4",55900,0,16.6,13.9,1,1,467
64189000,"5"," 6","16",0.680555556,"4",55900,0,16.6,13.9,2,3,467
85111000,"5"," 6","16",0.694444444,"4",55900,0,16.6,13.9,3,6,467
33106000,"7"," 6","17",0.708333333,"4",55900,0.2,6.6,3.6,1,1,467
43917000,"7"," 6","17",0.722222222,"4",55900,0.9,9.7,5,2,3,467
52953000,"7"," 6","17",0.736111111,"4",55900,0.9,9.7,5,3,6,467
23779000,"2"," 6","18",0.75,"4",55900,0.1,12.7,1.6,1,1,467
41827000,"2"," 6","18",0.763888889,"4",55900,0,8.1,2.2,2,3,467
52140000,"2"," 6","18",0.777777778,"4",55900,0,8.1,2.2,3,6,467
28058000,"4"," 6","17",0.708333333,"4",55900,0.1,8.3,1.6,1,1,467
58861000,"4"," 6","17",0.722222222,"4",55900,0.1,8.3,1.6,2,3,467
79209000,"4"," 6","17",0.736111111,"4",55900,0.2,6.9,5.4,3,6,467
30659000,"7"," 6","17",0.708333333,"4",55900,0,10.7,23.4,1,1,467
42133000,"7"," 6","17",0.722222222,"4",55900,0,12.8,24.4,2,3,467
54749000,"7"," 6","17",0.736111111,"4",55900,0,12.8,24.4,3,6,467
28552000,"7"," 6","18",0.75,"4",55900,0.5,14.3,15.5,1,1,467
38146000,"7"," 6","18",0.763888889,"4",55900,0.5,14.3,15.5,2,3,467
38654000,"7"," 6","18",0.777777778,"4",55900,0.5,14.3,15.5,3,6,467
35508000,"3"," 7","16",0.666666667,"4",55900,0,11.3,1.4,1,1,467
59553000,"3"," 7","16",0.680555556,"4",55900,0,11.3,1.4,2,3,467
5.4e+07,"3"," 7","16",0.694444444,"4",55900,0,11.3,1.4,3,6,467
27442000,"5"," 7","16",0.666666667,"4",55900,0.1,13.7,3,1,1,467
46079000,"5"," 7","16",0.680555556,"4",55900,0.1,13.7,3,2,3,467
52164000,"5"," 7","16",0.694444444,"4",55900,0.4,11.9,6.5,3,6,467
42949000,"2"," 7","17",0.708333333,"4",55900,0.1,13.9,14.7,1,1,467
65237000,"2"," 7","17",0.722222222,"4",55900,0.1,10.1,16.5,2,3,467
78863000,"2"," 7","17",0.736111111,"4",55900,0.1,10.1,16.5,3,6,467
35182000,"3"," 7","17",0.708333333,"4",55900,0,12,6.6,1,1,467
60083000,"3"," 7","17",0.722222222,"4",55900,0.2,6.9,5.4,2,3,467
62468000,"3"," 7","17",0.736111111,"4",55900,0.2,6.9,5.4,3,6,467
28071000,"5"," 7","17",0.708333333,"4",55900,1.1,4.7,3.7,1,1,467
44962000,"5"," 7","17",0.722222222,"4",55900,1.1,4.7,3.7,2,3,467
64792000,"5"," 7","17",0.736111111,"4",55900,0.1,7.1,-3.8,3,6,467
29041000,"1"," 7","18",0.763888889,"4",55900,0.3,10.9,21.6,1,1,467
38416000,"1"," 7","18",0.777777778,"4",55900,0.1,11.2,22.5,2,3,467
42593000,"1"," 7","19",0.791666667,"4",55900,0.1,11.2,22.5,3,6,467
27098000,"2"," 7","14",0.583333333,"4",55900,7.2,5.7,19.5,1,1,467
42759000,"2"," 7","14",0.597222222,"4",55900,7.2,5.7,19.5,2,3,467
45873000,"2"," 7","14",0.611111111,"4",55900,0,11.2,17.8,3,6,467
39977000,"3"," 7","16",0.666666667,"4",55900,0,12.2,18.4,1,1,467
52226000,"3"," 7","16",0.680555556,"4",55900,0,12.2,18.4,2,3,467
45783000,"3"," 7","16",0.694444444,"4",55900,0,12.2,18.4,3,6,467
23343000,"6"," 7","16",0.666666667,"4",55900,1.6,7.7,23.3,1,1,467
52363000,"6"," 7","16",0.680555556,"4",55900,1.6,7.7,23.3,2,3,467
57376000,"6"," 7","16",0.694444444,"4",55900,1.6,7.7,23.3,3,6,467
37382000,"1"," 7","17",0.708333333,"4",55900,4,6.9,18.3,1,1,467
48128000,"1"," 7","17",0.722222222,"4",55900,2.3,7.9,20.2,2,3,467
58254000,"1"," 7","17",0.736111111,"4",55900,2.3,7.9,20.2,3,6,467
28305000,"3"," 7","20",0.833333333,"4",55900,10.9,4.9,26.9,1,1,467
46599000,"3"," 7","20",0.847222222,"4",55900,10.9,4.9,26.9,2,3,467
58163000,"3"," 7","20",0.861111111,"4",55900,10.9,4.9,26.9,3,6,467
34927000,"4"," 7","17",0.708333333,"4",55900,0,17.6,22.9,1,1,467
48574000,"4"," 7","17",0.722222222,"4",55900,0,17.6,22.9,2,3,467
61829000,"4"," 7","17",0.736111111,"4",55900,22.9,6.7,18.6,3,6,467
35277000,"6"," 7","17",0.708333333,"4",55900,0.5,10.9,7.7,1,1,467
52622000,"6"," 7","17",0.722222222,"4",55900,0.5,10.9,7.7,2,3,467
51408000,"6"," 7","17",0.736111111,"4",55900,0.5,10.9,7.7,3,6,467
32998000,"7"," 7","21",0.888888889,"4",55900,0,15.4,17.6,1,1,467
47867000,"7"," 7","21",0.902777778,"4",55900,0,15.4,17.6,2,3,467
55115000,"7"," 7","22",0.916666667,"4",55900,5.6,9.7,16.8,3,6,467
33475000,"2"," 7","17",0.708333333,"4",55900,0.1,15.1,12.8,1,1,467
50075000,"3"," 7","17",0.722222222,"4",55900,0.1,15.1,12.8,1,1,467
5.4e+07,"3"," 7","17",0.736111111,"4",55900,0.1,15.1,12.8,2,3,467
22827000,"3"," 7","20",0.833333333,"4",55900,0,8.6,27.9,1,1,467
33777000,"3"," 7","20",0.847222222,"4",55900,0,8.6,27.9,2,3,467
46226000,"3"," 7","20",0.861111111,"4",55900,0,8.6,27.9,3,6,467
25302000,"5"," 8","11",0.458333333,"4",55900,22.9,6.7,18.6,1,1,467
41513000,"5"," 8","11",0.472222222,"4",55900,0.8,9.6,18.6,2,3,467
45018000,"5"," 8","11",0.486111111,"4",55900,0.8,9.6,18.6,3,6,467
35359000,"1"," 8","17",0.708333333,"4",55900,0,11.7,15.9,1,1,467
47620000,"1"," 8","17",0.722222222,"4",55900,0.2,11,16.2,2,3,467
56921000,"1"," 8","17",0.736111111,"4",55900,0.2,11,16.2,3,6,467
27558000,"3"," 8","17",0.708333333,"4",55900,0,8.3,0.6,1,1,467
60729000,"3"," 8","17",0.722222222,"4",55900,0,8.3,0.6,2,3,467
68386000,"3"," 8","17",0.736111111,"4",55900,0,11.8,9.7,3,6,467
31520000,"6"," 8","16",0.666666667,"4",55900,0,12,15.4,1,1,467
46840000,"6"," 8","16",0.680555556,"4",55900,0,12,15.4,2,3,467
56997000,"6"," 8","16",0.694444444,"4",55900,0,15.8,16,3,6,467
26069000,"1"," 8","12",0.5,"4",55900,0.3,17.1,7.9,1,1,467
43166000,"1"," 8","12",0.513888889,"4",55900,0.9,11,5.8,2,3,467
42221000,"1"," 8","12",0.527777778,"4",55900,0.9,11,5.8,3,6,467
21166000,"2"," 8","10",0.416666667,"4",55900,0,15.2,17,1,1,467
48051000,"2"," 8","10",0.430555556,"4",55900,0,15.2,17,2,3,467
38098000,"2"," 8","10",0.444444444,"4",55900,0,15.2,17,3,6,467
37043000,"5"," 8","17",0.708333333,"4",55900,0,15.8,16,1,1,467
54167000,"5"," 8","17",0.722222222,"4",55900,0,15.8,16,2,3,467
53340000,"5"," 8","17",0.736111111,"4",55900,0,13,17.1,3,6,467
24961000,"7"," 8","11",0.458333333,"4",55900,0,7.5,2.8,1,1,467
40553000,"1"," 8","11",0.472222222,"4",55900,0,7.5,2.8,1,1,467
55590000,"1"," 8","11",0.486111111,"4",55900,0,7.5,2.8,2,3,467
30335000,"3"," 8","11",0.458333333,"4",55900,0.4,7,23.2,1,1,467
45850000,"3"," 8","11",0.472222222,"4",55900,0.4,7,23.2,2,3,467
51616000,"3"," 8","11",0.486111111,"4",55900,0.4,7,23.2,3,6,467
34456000,"5"," 8","16",0.666666667,"4",55900,0.2,11.5,6.9,1,1,467
43698000,"5"," 8","16",0.680555556,"4",55900,0.2,11.5,6.9,2,3,467
41146000,"5"," 8","16",0.694444444,"4",55900,0.2,11.5,6.9,3,6,467
36118000,"1"," 8","17",0.708333333,"4",55900,0.5,10,6.5,1,1,467
60943000,"1"," 8","17",0.722222222,"4",55900,0.1,12,6.8,2,3,467
60052000,"1"," 8","17",0.736111111,"4",55900,0.1,12,6.8,3,6,467
33390000,"3"," 8","17",0.708333333,"4",55900,4.5,6.8,13.5,1,1,467
49847000,"3"," 8","17",0.722222222,"4",55900,4.5,6.8,13.5,2,3,467
64988000,"3"," 8","17",0.736111111,"4",55900,4.5,6.8,13.5,3,6,467
31323000,"5"," 8","19",0.791666667,"4",55900,9.4,6.5,21.5,1,1,467
45946000,"5"," 8","19",0.805555556,"4",55900,3.2,7.1,18.9,2,3,467
46359000,"5"," 8","19",0.819444444,"4",55900,3.2,7.1,18.9,3,6,467
38516000,"6"," 9","17",0.708333333,"4",55900,0,12.3,21.3,1,1,467
51367000,"6"," 9","17",0.722222222,"4",55900,0,12.3,21.3,2,3,467
65004000,"6"," 9","17",0.736111111,"4",55900,0,12.3,21.3,3,6,467
45601000,"6"," 9","13",0.541666667,"4",55900,0,15.8,16,1,1,467
57081000,"6"," 9","13",0.555555556,"4",55900,2.1,8.9,21.3,2,3,467
54764000,"6"," 9","13",0.569444444,"4",55900,2.1,8.9,21.3,3,6,467
36929000,"1"," 9","18",0.75,"4",55900,6.9,7.8,17.3,1,1,467
59502000,"1"," 9","18",0.763888889,"4",55900,6.9,7.8,17.3,2,3,467
62583000,"1"," 9","18",0.777777778,"4",55900,6.9,7.8,17.3,3,6,467
21368000,"5"," 9","12",0.5,"4",55900,4.5,8.4,23.8,1,1,467
22609000,"5"," 9","12",0.513888889,"4",55900,0.6,10.3,28.4,2,3,467
33998000,"5"," 9","12",0.527777778,"4",55900,0.6,10.3,28.4,3,6,467
32495000,"2"," 9","16",0.666666667,"4",55900,12.8,7.2,5.6,1,1,467
41703000,"2"," 9","16",0.680555556,"4",55900,12.8,7.2,5.6,2,3,467
55171000,"2"," 9","16",0.694444444,"4",55900,12.8,7.2,5.6,3,6,467
30278000,"4"," 9","17",0.708333333,"4",55900,0,13,17.1,1,1,467
43741000,"4"," 9","17",0.722222222,"4",55900,0,13,17.1,2,3,467
45750000,"4"," 9","17",0.736111111,"4",55900,0,14.2,20.6,3,6,467
24588000,"6"," 9","18",0.75,"4",55900,0,12.5,21,1,1,467
35232000,"6"," 9","18",0.763888889,"4",55900,0,12.5,21,2,3,467
36835000,"6"," 9","18",0.777777778,"4",55900,0,12.5,21,3,6,467
21164000,"1"," 9","17",0.708333333,"4",55900,0,11.8,9.7,1,1,467
39797000,"1"," 9","17",0.722222222,"4",55900,0,11.8,9.7,2,3,467
41958000,"1"," 9","17",0.736111111,"4",55900,2.8,10.2,8.9,3,6,467
20790000,"4"," 9","11",0.458333333,"4",55900,4.5,6.8,13.5,1,1,467
38322000,"4"," 9","11",0.472222222,"4",55900,4.5,6.8,13.5,2,3,467
57866000,"4"," 9","11",0.486111111,"4",55900,0,16.6,13.9,3,6,467
26404000,"5"," 9","18",0.75,"4",55900,0,12.7,19.8,1,1,467
44829000,"5"," 9","18",0.763888889,"4",55900,0,12.7,19.8,2,3,467
47280000,"5"," 9","18",0.777777778,"4",55900,0,12.7,19.8,3,6,467
24435000,"1"," 9","17",0.708333333,"4",55900,0,12,6.6,1,1,467
47210000,"1"," 9","17",0.722222222,"4",55900,0,12,6.6,2,3,467
56828000,"1"," 9","17",0.736111111,"4",55900,0,12,6.6,3,6,467
36497000,"5","10","17",0.708333333,"4",55900,0.2,9.8,2.6,1,1,467
57497000,"5","10","17",0.722222222,"4",55900,0.2,9.8,2.6,2,3,467
65740000,"5","10","17",0.736111111,"4",55900,0.2,9.8,2.6,3,6,467
29367000,"7","10","18",0.75,"4",55900,1.5,10.1,21.4,1,1,467
43044000,"7","10","18",0.763888889,"4",55900,1.5,10.1,21.4,2,3,467
58334000,"7","10","18",0.777777778,"4",55900,1.5,10.1,21.4,3,6,467
38106000,"5","10","17",0.708333333,"4",55900,1.5,10.1,21.4,1,1,467
69199000,"5","10","17",0.722222222,"4",55900,12.5,3.4,6.3,2,3,467
65328000,"5","10","17",0.736111111,"4",55900,12.5,3.4,6.3,3,6,467
34161000,"2","10","16",0.666666667,"4",55900,0,18.3,16.7,1,1,467
62569000,"2","10","16",0.680555556,"4",55900,0,18.3,16.7,2,3,467
79662000,"2","10","16",0.694444444,"4",55900,0,17.1,18.5,3,6,467
27402000,"3","10","11",0.458333333,"4",55900,7.9,8.1,7.8,1,1,467
44849000,"3","10","11",0.472222222,"4",55900,7.9,8.1,7.8,2,3,467
54414000,"4","10","11",0.486111111,"4",55900,1.1,11.2,6.4,1,1,467
26653000,"5","10","16",0.666666667,"4",55900,0,14.8,5,1,1,467
37824000,"5","10","16",0.680555556,"4",55900,0.1,10,20.1,2,3,467
47757000,"5","10","16",0.694444444,"4",55900,0.1,10,20.1,3,6,467
24530000,"7","10","11",0.458333333,"4",55900,0,12.3,25.1,1,1,467
44387000,"7","10","11",0.472222222,"4",55900,0,12.3,25.1,2,3,467
52492000,"7","10","11",0.486111111,"4",55900,0,12.3,25.1,3,6,467
29290000,"4","10","17",0.708333333,"4",55900,0.5,14.3,15.5,1,1,467
45879000,"4","10","17",0.722222222,"4",55900,11.9,4.8,23.4,2,3,467
41071000,"4","10","17",0.736111111,"4",55900,11.9,4.8,23.4,3,6,467
19366000,"7","10","16",0.666666667,"4",55900,0,11.4,1.3,1,1,467
31184000,"7","10","16",0.680555556,"4",55900,0.1,10,0.9,2,3,467
39229000,"7","10","16",0.694444444,"4",55900,0.1,10,0.9,3,6,467
29497000,"2","10","17",0.708333333,"4",55900,0,13.3,2.1,1,1,467
40733000,"2","10","17",0.722222222,"4",55900,12.8,7.2,5.6,2,3,467
59555000,"2","10","17",0.736111111,"4",55900,12.8,7.2,5.6,3,6,467
28393000,"4","10","11",0.458333333,"4",55900,2.2,8.6,8.3,1,1,467
46573000,"4","10","11",0.472222222,"4",55900,2.2,8.6,8.3,2,3,467
47683000,"4","10","11",0.486111111,"4",55900,2.2,8.6,8.3,3,6,467
31788000,"6","10","17",0.708333333,"4",55900,0,15.8,6.1,1,1,467
38518000,"6","10","17",0.722222222,"4",55900,1.1,11.2,6.4,2,3,467
41588000,"6","10","17",0.736111111,"4",55900,1.1,11.2,6.4,3,6,467
29001000,"6","11","17",0.722222222,"4",55900,0,8.9,5.2,1,1,467
37936000,"6","11","17",0.736111111,"4",55900,0,8.9,5.2,2,3,467
47648000,"6","11","18",0.75,"4",55900,1.4,10.6,4.2,3,6,467
36174000,"2","11","15",0.638888889,"4",55900,0.1,9.4,28.3,1,1,467
64388000,"2","11","15",0.652777778,"4",55900,8,7.5,28.3,2,3,467
74614000,"2","11","16",0.666666667,"4",55900,8,7.5,28.3,3,6,467
59778000,"3","11","16",0.694444444,"4",55900,0,12.4,17.8,1,1,467
36307000,"3","11","17",0.708333333,"4",55900,9.4,6.5,21.5,2,3,467
35261000,"3","11","17",0.722222222,"4",55900,9.4,6.5,21.5,3,6,467
67369000,"3","11","17",0.736111111,"4",55900,28.9,7.6,22,4,4,467
22699000,"5","11","11",0.486111111,"4",55900,0.2,11,16.2,1,1,467
39326000,"5","11","12",0.5,"4",55900,2.3,8.5,17.4,2,3,467
45336000,"5","11","12",0.513888889,"4",55900,2.3,8.5,17.4,3,6,467
36855000,"3","12","16",0.680555556,"4",55900,0.1,7.1,-3.8,1,1,467
36380000,"3","12","16",0.694444444,"4",55900,0.1,7.1,-3.8,2,3,467
61705000,"4","12","17",0.708333333,"4",55900,0.1,7.1,-3.8,1,1,467
36497000,"5","12","11",0.472222222,"4",55900,0.2,12,2.9,1,1,467
50242000,"5","12","11",0.486111111,"4",55900,0.1,8.3,1.6,2,3,467
55459000,"5","12","12",0.5,"4",55900,0.1,8.3,1.6,3,6,467
34588000,"2","12","17",0.722222222,"4",55900,0,11.6,1,1,1,467
46355000,"2","12","17",0.736111111,"4",55900,0,9.6,-3.2,2,3,467
51178000,"2","12","18",0.75,"4",55900,0,9.6,-3.2,3,6,467
33524000,"4","12","11",0.472222222,"4",55900,0.4,6.7,4.6,1,1,467
51216000,"4","12","11",0.486111111,"4",55900,0.4,6.7,4.6,2,3,467
82336000,"4","12","12",0.5,"4",55900,0.1,8.8,0.2,3,6,467
41093000,"1","12","17",0.722222222,"4",55900,0,12.1,2.7,1,1,467
56338000,"1","12","17",0.736111111,"4",55900,0,12.1,2.7,2,3,467
58554000,"1","12","18",0.75,"4",55900,0,12.6,3.9,3,6,467
8420000,"4","12","17",0.722222222,"4",49900,0,18.3,16.7,1,1,218
11524000,"4","12","17",0.736111111,"4",49900,0,18.3,16.7,2,3,218
14660000,"4","12","18",0.75,"4",49900,0,18.3,16.7,3,6,218
5596000,"7","12","12",0.513888889,"4",49900,0,15.1,2.9,1,1,218
11811000,"7","12","12",0.527777778,"4",49900,0,9.1,-2,2,3,218
16230000,"7","12","13",0.541666667,"4",49900,0,9.1,-2,3,6,218
2273000,"4","12","17",0.722222222,"4",49900,0,13,17.1,1,1,218
3321000,"4","12","17",0.736111111,"4",49900,0,13,17.1,2,3,218
6217000,"4","12","18",0.75,"4",49900,0,13,17.1,3,6,218
1876000,"7","12","12",0.513888889,"4",49900,0,9.1,-2,1,1,218
2924000,"7","12","12",0.527777778,"4",49900,0,9.5,-1.4,2,3,218
4304000,"7","12","13",0.541666667,"4",49900,0,9.5,-1.4,3,6,218
23833000,"4","12","17",0.722222222,"4",49900,0,13,20.3,1,1,218
40214000,"4","12","17",0.736111111,"4",49900,0,13,20.3,2,3,218
53984000,"5","12","18",0.75,"4",49900,0,13,20.3,1,1,218
